Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,A.J. Jacobs,"",9780743291477,hardcover,to-read,2014/03/11,"","",0,"",,,,,,,,,"",,"",No
The Producer as Composer: Shaping the Sounds of Popular Music,Virgil Moorefield,"",,,read,2012/05/03,"","",1,"",,,,,,,5.0,,"",,music-and-sound,No
"Da Vinci's Ghost: Genius, Obsession, and How Leonardo Created the World in His Own Image",Toby Lester,"",9781439189238,hardcover,to-read,2012/05/29,"","",0,"",,,,,,,,,"",,science-and-math,No
Oathbringer,Brandon Sanderson,"",9780765326379,hardcover,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
The Meditation Bible: The Definitive Guide to Meditations for Every Purpose,Madonna Gauding,"",9781402728433,paperback,read,2012/10/13,"","",1,"",,,,,,,4.0,,"",,"non-fiction, religion-and-philosophy",No
A man of no importance: A new musical,"Terrence McNally, Lynn Ahrns, Stephen Flaherty","",,,to-read,2012/10/03,"","",0,"",,,,,,,,,"",,plays-to-read,No
The Illustrated Man,Ray Bradbury,"",9781451678185,paperback,read,2014/05/15,"","",1,"",,,,,,,,,"",,"",No
The Seven Spiritual Laws of Success: A Practical Guide to the Fulfillment of Your Dreams,Deepak Chopra,"",9781878424112,hardcover,to-read,2012/09/03,"","",0,"",,,,,,,,,"",,"",No
All Systems Red,Martha Wells,"",9780765397522,digital,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
Heretical Fishing,Haylock Jobson,"",B0CVD8D7H6,digital,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
Tress of the Emerald Sea,Brandon Sanderson,"",9781938570322,hardcover,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
"The Classical Style: Haydn, Mozart, Beethoven",Charles Rosen,"",9780393317121,paperback,to-read,2013/01/09,"","",0,"",,,,,,,,,"",,"",No
The Complete Guide to Asperger's Syndrome,Tony Attwood,"",9781843104957,hardcover,to-read,2012/07/18,"","",0,"",,,,,,,,,"",,non-fiction,No
"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,"",9781592402038,paperback,read,2012/04/21,"","",1,"",,,,,,,5.0,,"",,"language-and-semiotics, non-fiction",No
Ilse Witch,Terry Brooks,"",9780345396556,paperback,read,2012/07/29,"","",1,"",,,,,,,4.0,,"",,"fiction, fantasy",No
Philosophy for Beginners,Richard Osborne,Ralph Edney,9780863161575,paperback,read,2012/05/03,"","",1,"",,,,,,,4.0,,"",,religion-and-philosophy,No
The Three-Body Problem,Cixin Liu,Ken Liu (Translator),9780765377067,hardcover,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",Yes
"The Origin of Satan: How Christians Demonized Jews, Pagans, and Heretics",Elaine Pagels,"",9780679731184,paperback,to-read,2012/12/29,"","",0,"",,,,,,,,,"",,"history, religion-and-philosophy",No
Paranoia: A Psychologist’s Journey Into Extreme Mistrust and Anxiety,Daniel Freeman,"",9780008472603,digital,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
Научные теории за 30 секунд,Paul Parsons,Ю.Б. Капустюк (Translator),9781435109568,digital,read,2012/05/03,"","",1,"",,,,,,,5.0,,"",,"non-fiction, science-and-math",No
"Be Different: My Adventures with Asperger's and My Advice for Fellow Aspergians, Misfits, Families, and Teachers",John Elder Robison,"",9780307884824,paperback,read,2012/07/23,2012/08/13,2012/08/13,1,"",,,,,,,4.0,,"",,"biography, non-fiction",No
The Sword of Shannara,Terry Brooks,"",9781857231519,paperback,read,2012/04/28,"","",1,"",,,,,,,4.0,,"",,fiction,No
Much Ado About Nothing,William Shakespeare,"",0140622527,paperback,read,2012/07/23,"","",1,"",,,,,,,,,"",,plays-ive-read,No
Amadeus: A Play by Peter Shaffer,Peter Shaffer,"",9780060935498,paperback,to-read,2012/05/29,"","",0,"",,,,,,,,,"",,"music-and-sound, plays-to-read",No
The Way of Kings,Brandon Sanderson,"",9780765326355,hardcover,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",Yes
Edgedancer,Brandon Sanderson,"",9781250166548,hardcover,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
The Picture of Dorian Gray,Oscar Wilde,"",9786071415509,paperback,to-read,2012/09/03,"","",0,"",,,,,,,,,"",,fiction,No
"The Golden Ratio: The Story of Phi, the World's Most Astonishing Number",Mario Livio,"",9780767908160,paperback,read,2012/04/21,"","",1,"",,,,,,,4.0,,"",,"religion-and-philosophy, science-and-math",No
Harvey,Mary Chase,"",9780822205005,paperback,to-read,2012/10/03,"","",0,"",,,,,,,,,"",,plays-to-read,No
Children of Time,Adrian Tchaikovsky,"",9781447273288,hardcover,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
Listen to This,Alex Ross,"",9780374187743,hardcover,to-read,2013/01/10,"","",0,"",,,,,,,,,"",,"",No
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,"",0316346624,paperback,to-read,2013/01/25,"","",0,"",,,,,,,,,"",,non-fiction,No
A History of Pi,Petr Beckmann,"",9780312381851,paperback,to-read,2012/07/18,"","",0,"",,,,,,,,,"",,"non-fiction, science-and-math",No
A Game of Thrones: The Graphic Novel: Volume One,George R.R. Martin,"Daniel Abraham, Tommy Patterson (Illustrator), Tommy Patterson (Illustrator)",9780440423218,hardcover,read,2013/04/13,"","",1,"",,,,,,,5.0,,"",,"",No
Saint Joan,George Bernard Shaw,"",9780140437911,paperback,to-read,2012/07/23,"","",0,"",,,,,,,,,"",,plays-to-read,No
The Great Transformation: The Beginning of Our Religious Traditions,Karen Armstrong,"",9780385721240,paperback,to-read,2012/12/29,"","",0,"",,,,,,,,,"",,"history, religion-and-philosophy",No
Mort,Terry Pratchett,"",9780061020681,paperback,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
Gumption: Relighting the Torch of Freedom with America's Gutsiest Troublemakers,Nick Offerman,"",9780525954675,hardcover,read,2015/06/30,"","",1,"",,,,,,,4.0,,"",,"biography, history, non-fiction",Yes
Exhalation: Stories by Ted Chiang,Ted Chiang,"","",,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
Empire of Signs,Roland Barthes,Richard Howard (Translator),9780374522070,paperback,to-read,2012/08/13,"","",0,"",,,,,,,,,"",,language-and-semiotics,No
Arsenic and Old Lace,Joseph Kesselring,"",9780856761225,paperback,read,2012/07/23,"","",1,"",,,,,,,,,"",,plays-ive-read,No
Dune,Frank Herbert,"",9780593099322,hardcover,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
The Encyclopedia of Music: Musical Instruments and the Art of Music-making,Max Wade-Matthews,"Wendy Wade-Matthews (Illustrator), Max ; Thompson (Illustrator)",9780760762431,paperback,to-read,2013/07/15,"","",0,"",,,,,,,,,"",,"music-and-sound, history, non-fiction",No
The Importance of Being Earnest,Oscar Wilde,"",9781580495806,paperback,read,2012/05/29,"","",1,"",,,,,,,,,"",,plays-ive-read,No
Autobiography of a Yogi,Paramahansa Yogananda,W.Y. Evans-Wentz (Contributor),9780876120835,paperback,to-read,2012/05/29,"","",0,"",,,,,,,,,"",,religion-and-philosophy,No
The Checklist Manifesto: How to Get Things Right,Atul Gawande,"",9780312430009,paperback,to-read,2014/10/29,"","",0,"",,,,,,,,,"",,"non-fiction, religion-and-philosophy",No
Othello,William Shakespeare,"",9781727896374,paperback,read,2012/05/10,"","",1,"",,,,,,,,,"",,plays-ive-read,No
Dungeon Crawler Carl,Matt Dinniman,"","",digital,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
The Book of Leadership and Strategy: Lessons of the Chinese Masters,Thomas Cleary,"",9780877736677,paperback,to-read,2012/08/31,"","",0,"",,,,,,,,,"",,"non-fiction, religion-and-philosophy",No
Bossypants,Tina Fey,"",9780316056861,hardcover,read,2013/01/09,"","",1,"",,,,,,,,,"",,"biography, non-fiction",Yes
Babel,R.F. Kuang,"",9780063021426,hardcover,read,2026/02/16,"","",1,"challenging, dark, emotional, informative, inspiring, sad",,"",Yes,Yes,Yes,"",5.0,"","","","",Yes
The Catcher in the Rye,J.D. Salinger,"",9780316769174,paperback,read,2012/04/21,"","",1,"",,,,,,,1.0,,"",,fiction,No
Into the Woods (Tcg Edition),"James Lapine, Stephen Sondheim","",9780930452933,paperback,read,2012/10/03,"","",1,"",,,,,,,2.0,,"",,"",No
The Traitor Baru Cormorant,Seth Dickinson,"",9780765380722,hardcover,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
His Excellency: George Washington,Joseph J. Ellis,"",9781400032532,paperback,to-read,2012/09/11,"","",0,"",,,,,,,,,"",,"",No
The Republic,Plato,Desmond Lee (Translator),9780140449143,paperback,to-read,2012/07/29,"","",0,"",,,,,,,,,"",,"non-fiction, religion-and-philosophy",No
"The Diamond Age: Or, a Young Lady's Illustrated Primer",Neal Stephenson,"",9780553380965,paperback,to-read,2014/01/13,"","",0,"",,,,,,,,,"",,"fiction, fantasy",No
The Amber Spyglass,Philip Pullman,Chris Wormell (Illustrator),9781407186122,paperback,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
101 Things I Learned in Engineering School,"John Kuprenas, Matthew Frederick","",,,read,2014/01/25,"","",1,"",,,,,,,5.0,,"",,"engineering, non-fiction, religion-and-philosophy, science-and-math",No
Daughter of the Moon Goddess,Sue Lynn Tan,"",9780063031302,hardcover,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
Monk and Robot,Becky Chambers,"",9781250386335,paperback,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
"The Dramatic Imagination: Reflections and Speculations on the Art of the Theatre, Reissue",Robert Edmond Jones,"",9780878301843,paperback,read,2012/04/21,"","",1,"",,,,,,,5.0,,"",,"theatre, language-and-semiotics",No
Rosencrantz and Guildenstern Are Dead,Tom Stoppard,"",9780802132758,paperback,to-read,2012/07/23,"","",0,"",,,,,,,,,"",,plays-to-read,No
The Left Hand of Darkness,Ursula K. Le Guin,"",9780441007318,paperback,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
A Prayer for the Crown-Shy,Becky Chambers,"",9781250236234,hardcover,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
Hedda Gabler,Henrik Ibsen,William Archer,9781847024695,paperback,read,2012/04/21,"","",1,"",,,,,,,,,"",,plays-ive-read,No
"Against Our Will: Men, Women, and Rape",Susan Brownmiller,"",9780449908204,paperback,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
Stories of Your Life and Others,Ted Chiang,"",9781101972120,paperback,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
Flight: My Life in Mission Control,Christopher Kraft,"",9780452283046,paperback,to-read,2012/09/11,"","",0,"",,,,,,,,,"",,"",No
Behind The Glass,Howard Massey,"",9780879306144,paperback,to-read,2012/05/03,"","",0,"",,,,,,,,,"",,music-and-sound,No
Farenheit 451,Ray Bradbury,"","",audio,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",Yes
Archaeology and Language: The Puzzle of Indo-European Origins,Colin Renfrew,"",9780521386753,paperback,to-read,2013/01/10,"","",0,"",,,,,,,,,"",,"",No
The World's Wisdom: Sacred Texts of the World's Religions,Philip Novak,"",9780060663421,paperback,to-read,2012/10/18,"","",0,"",,,,,,,,,"",,"non-fiction, religion-and-philosophy",No
Mushroom Blues,Adrian M. Gibson,"",B0CTCF9TCF,digital,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
J.B.: A Play in Verse,Archibald MacLeish,"",9780395083536,paperback,read,2012/05/03,"","",1,"",,,,,,,,,"",,"plays-ive-read, religion-and-philosophy",No
Noises Off: A Play in Three Acts,Michael Frayn,"",9781400031603,paperback,read,2012/07/23,"","",1,"",,,,,,,,,"",,plays-ive-read,No
Native Nations: A Millennium in North America,Kathleen DuVal,David Lindroth Inc,9780525511038,hardcover,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
"The Walking Dead, Book 1",Robert Kirkman,"",9781582406190,hardcover,read,2012/07/26,"","",1,"",,,,,,,1.0,,"",,"",No
Designing with Light,J. Michael Gillette,"",,,read,2012/10/03,"","",1,"",,,,,,,3.0,,"",,"theatre, light",No
Every Tool's a Hammer: Life Is What You Make It,Adam Savage,"",9781982113490,digital,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
Millennium Approaches,Tony Kushner,"",9781559360616,paperback,read,2012/04/21,"","",1,"",,,,,,,,,"",,"plays-ive-read, religion-and-philosophy",No
Tao Te Ching,Laozi,"Rowena Pattee Kryder, Jane English, Chungliang Al Huang, Gia-Fu Feng, Toinette Lippe",9780679776192,paperback,read,2012/04/21,"","",1,"",,,,,,,,,"",,religion-and-philosophy,No
The Lives of the Great Composers,Harold C. Schonberg,"",9780393038576,hardcover,to-read,2012/10/14,"","",0,"",,,,,,,,,"",,"music-and-sound, biography, history, non-fiction",No
A Wizard of Earthsea,Ursula K. Le Guin,"",9780553383041,paperback,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
Born Standing Up: A Comic's Life,Steve Martin,"",9781416553649,hardcover,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
Dawnshard,Brandon Sanderson,"",9781250850553,hardcover,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Mary GrandPré (Illustrator),9780439554930,hardcover,read,2012/09/11,"","",1,"",,,,,,,4.0,,"",,"",No
Compass: A Story of Exploration and Innovation,Alan Gurney,"",9780393050738,hardcover,to-read,2012/07/29,"","",0,"",,,,,,,,,"",,"",No
The Botany of Desire,Michael Pollan,"",9780375760396,paperback,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",Yes
The Idea Factory: Bell Labs and the Great Age of American Innovation,Jon Gertner,"",9781594203282,hardcover,to-read,2012/06/25,"","",0,"",,,,,,,,,"",,non-fiction,No
Service Model,Adrian Tchaikovsky,"",9781250290281,hardcover,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
West With Giraffes,Lynda Rutledge,"",9781542023344,paperback,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
History of the Hour: Clocks and Modern Temporal Orders,Gerhard Dohrn-van Rossum,Thomas Dunlap,9780226155111,paperback,to-read,2013/08/12,"","",0,"",,,,,,,,,"",,"engineering, history, non-fiction, religion-and-philosophy, science-and-math",No
When the Moon Hits Your Eye,John Scalzi,"",9780765389091,hardcover,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,Wendy MacNaughton (Illustrator),9781476753836,hardcover,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",Yes
A Brief History of Earth: Four Billion Years in Eight Chapters,Andrew H. Knoll,"",9780062853912,hardcover,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
Long Day's Journey Into Night,Eugene O'Neill,"",9780300093056,paperback,read,2012/04/21,"","",1,"",,,,,,,,,"",,plays-ive-read,No
Dracula,Bram Stoker,"Nina Auerbach (Contributor), David J. Skal (Contributor)",9780393970128,paperback,read,2012/04/21,"","",1,"",,,,,,,4.0,,"",,fiction,No
The Stand,Stephen King,Bernie Wrightson (Illustrator),9780385199575,hardcover,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
Emotion and Meaning in Music,Leonard B. Meyer,Denny J. Meyer,9780226521398,paperback,read,2012/05/03,"","",1,"",,,,,,,2.0,,"",,music-and-sound,No
A History of Western Music,J. Peter Burkholder,"Donald Jay Grout, Claude V. Palisca",9780393979916,hardcover,read,2012/10/18,"","",1,"",,,,,,,4.0,,"",,"music-and-sound, history, non-fiction",No
Dracula,Bram Stoker,Leonard Wolf,9780451523372,paperback,read,2012/10/18,"","",1,"",,,,,,,4.0,,"",,"fiction, fantasy",No
The Art of Practicing: A Guide to Making Music from the Heart,Madeline Bruser,Deline Bruser,9780609801772,paperback,to-read,2012/05/03,"","",0,"",,,,,,,,,"",,music-and-sound,No
I Like You: Hospitality Under the Influence,Amy Sedaris,"",9780446578844,hardcover,to-read,2012/07/29,"","",0,"",,,,,,,,,"",,"",No
The Butcher's Masquerade,Matt Dinniman,"",9780593955994,hardcover,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
Mother Courage and Her Children,Bertolt Brecht,David Hare,9781559703611,paperback,read,2012/08/13,"","",1,"",,,,,,,,,"",,plays-to-read,No
East of Eden,John Steinbeck,"",9780142000656,paperback,to-read,2012/05/29,"","",0,"",,,,,,,,,"",,"",No
Zen Guitar,Philip Toshio Sudo,"",9780684838779,paperback,read,2012/05/03,"","",1,"",,,,,,,3.0,,"",,"music-and-sound, religion-and-philosophy",No
Sweeney Todd: The Demon Barber of Fleet Street,"Stephen Sondheim, Hugh Wheeler","",9781557830661,paperback,read,2012/07/23,"","",1,"",,,,,,,,,"",,"music-and-sound, plays-ive-read",No
Einstein P,Denis Brian,"",9780471193623,paperback,read,2012/04/21,"","",1,"",,,,,,,4.0,,"",,"biography, history, non-fiction, religion-and-philosophy, science-and-math",No
Eat Pray Love,Elizabeth Gilbert,"",9780143038412,paperback,read,2012/04/21,"","",1,"",,,,,,,4.0,,"",,"biography, non-fiction, religion-and-philosophy",No
Signals and Systems,"Alan Willsky, With Hamid, Alan Oppenheim","",9780138147570,hardcover,to-read,2013/03/10,"","",0,"",,,,,,,,,"",,"engineering, non-fiction, science-and-math",No
It Must Be Beautiful: Great Equations of Modern Science,Graham Farmelo,"",9781862075559,paperback,to-read,2013/01/09,"","",0,"",,,,,,,,,"",,"",No
How We Decide,Jonah Lehrer,"",9780618620111,hardcover,to-read,2012/05/25,"","",0,"",,,,,,,,,"",,non-fiction,No
The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,"",9780345453747,paperback,read,2012/04/21,"","",1,"",,,,,,,5.0,,"",,fiction,No
The Tempest,William Shakespeare,Rafael Raffaelli (Translator),"",digital,read,2012/07/29,"","",1,"",,,,,,,,,"",,"fiction, theatre, plays-ive-read, fantasy",No
"Love, Dishonor, Marry, Die, Cherish, Perish",David Rakoff,"",9780385535229,digital,to-read,2013/07/19,"","",0,"",,,,,,,,,"",,"fiction, history",No
The Casual Vacancy,J.K. Rowling,"",9780316228534,hardcover,read,2012/10/18,"","",1,"",,,,,,,,,"",,fiction,Yes
The Laramie Project,Moisés Kaufman,Tectonic Theater Project,9780375727191,paperback,to-read,2012/10/03,"","",0,"",,,,,,,,,"",,plays-to-read,No
The Life and Death of King John,"Deighton Kenneth, William Shakespeare","",9781348193364,hardcover,read,2012/07/29,"","",1,"",,,,,,,,,"",,"theatre, plays-ive-read, history",No
The Power of Myth,"Joseph Campbell, Bill Moyers","",9780385418867,paperback,to-read,2014/01/29,"","",0,"",,,,,,,,,"",,"language-and-semiotics, non-fiction, religion-and-philosophy",Yes
The Gate of the Feral Gods,Matt Dinniman,"",9780593955970,hardcover,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
Lysistrata,Aristophanes,Sarah Ruden (Translator),9780872206038,paperback,read,2012/07/23,"","",1,"",,,,,,,,,"",,plays-ive-read,No
