Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",Karen Armstrong,"",9780517223123,hardcover,to-read,2012/04/21,"","",0,"",,,,,,,,,"",,religion-and-philosophy,No
The Sunlit Man,Brandon Sanderson,"",9781399613477,paperback,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
A Mathematician's Apology,G.H. Hardy,"",9780521427067,paperback,to-read,2012/05/03,"","",0,"",,,,,,,,,"",,"",No
The Martian,Andy Weir,"",9780804139021,hardcover,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
Yes Please,Amy Poehler,"",9780062268341,hardcover,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",Yes
The Fires of December,Brandon Sanderson,"","",hardcover,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
Me Talk Pretty One Day,David Sedaris,"",9780349113913,paperback,read,2012/05/24,2012/06/08,2012/06/08,1,"",,,,,,,4.0,,"",,"biography, non-fiction",No
How to Read a French Fry: And Other Stories of Intriguing Kitchen Science,Russ Parsons,"","",hardcover,to-read,2012/09/03,"","",0,"",,,,,,,,,"",,"",No
The Joy of Music,Leonard Bernstein,Tim Page,9781574671049,paperback,to-read,2012/09/03,"","",0,"",,,,,,,,,"",,"",No
Through the Language Glass: Why the World Looks Different in Other Languages,Guy Deutscher,"",9780805081954,hardcover,to-read,2012/07/08,"","",0,"",,,,,,,,,"",,"language-and-semiotics, non-fiction, science-and-math",No
Animal Farm,George Orwell,"","",digital,read,2012/07/29,"","",1,"",,,,,,,3.0,,"",,"fiction, religion-and-philosophy",No
The Tao of Pooh,Benjamin Hoff,Ernest H. Shepard (Illustrator),9781405204262,paperback,read,2012/05/29,"","",1,"",,,,,,,4.0,,"",,religion-and-philosophy,No
Batman: The Long Halloween,Jeph Loeb,"Tim Sale, Gregory Wright, Richard Starkings",9781563894695,paperback,read,2012/09/11,"","",1,"",,,,,,,4.0,,"",,"",No
A Feast for Crows,George R.R. Martin,Roy Dotrice (Narrator),9780449011881,audio,read,2012/09/11,2012/10/02,2012/10/02,1,"",,,,,,,4.0,,"",,"fiction, fantasy",No
Nietzsche for Beginners,Marc Sautet,Patrick Boussignac (Illustrator),9781934389058,paperback,to-read,2012/08/13,"","",0,"",,,,,,,,,"",,"",No
Cheese and Culture: A History of Cheese and Its Place in Western Civilization,Paul Kindstedt,"","",,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
Ninth House,Leigh Bardugo,"",9781250313072,hardcover,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
The World in Six Songs,Daniel J. Levitin,"",9780525950738,hardcover,to-read,2013/01/09,"","",0,"",,,,,,,,,"",,"",No
Mycelium Running: How Mushrooms Can Help Save the World,Paul Stamets,"",9781580085793,paperback,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
Looking at Shakespeare: A Visual History of Twentieth-Century Performance,Dennis Kennedy,"",9780521785488,,to-read,2012/08/05,"","",0,"",,,,,,,,,"",,"theatre, language-and-semiotics, history",No
